task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
65	ee/fbef5d	190806	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (Hs27_WT_1_IGO_14178_1_S125)	COMPLETED	0	2024-04-25 15:14:00.359	1.1s	1s	96.7%	3 MB	12 MB	7.3 MB	9.1 KB
64	6c/203fc0	190800	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (HS27_WT_2_IGO_14178_2_S126)	COMPLETED	0	2024-04-25 15:14:00.355	2m 56s	2m 55s	174.2%	3.6 MB	220.9 MB	15.7 GB	5.5 KB
66	36/ef7e94	190798	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (Hs27_WT_1_IGO_14178_1_S125)	COMPLETED	0	2024-04-25 15:14:00.350	3m 5s	3m 4s	179.5%	3.6 MB	220.9 MB	16.6 GB	5.5 KB
47	64/bbe853	73001	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONSATURATION (HS27_WT_2_IGO_14178_2_S126)	COMPLETED	0	2024-04-25 14:56:19.407	22m 29s	22m 29s	99.8%	7.7 GB	18.3 GB	15.7 GB	28.5 KB
43	eb/7c72e4	73058	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDISTRIBUTION (HS27_WT_2_IGO_14178_2_S126)	COMPLETED	0	2024-04-25 14:56:19.459	23m 57s	23m 57s	99.4%	1 GB	11.6 GB	16 GB	1.8 KB
53	96/5d6d06	138393	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (Hs27_WT_1_IGO_14178_1_S125)	COMPLETED	0	2024-04-25 15:06:28.113	18m 47s	18m 46s	128.4%	1.2 GB	1.4 GB	18.1 GB	686.5 MB
61	9e/88db2e	190832	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (HS27_WT_2_IGO_14178_2_S126)	COMPLETED	0	2024-04-25 15:14:00.380	12m 25s	12m 24s	162.6%	5.5 MB	222.1 MB	15.7 GB	276.4 KB
63	5a/88db24	190796	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (Hs27_WT_1_IGO_14178_1_S125)	COMPLETED	0	2024-04-25 15:14:00.343	13m 34s	13m 33s	162.6%	5.5 MB	222.1 MB	16.6 GB	277.2 KB
42	50/dc8f8e	73008	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDUPLICATION (HS27_WT_2_IGO_14178_2_S126)	COMPLETED	0	2024-04-25 14:56:19.415	32m 44s	32m 44s	99.8%	23.5 GB	34.1 GB	15.7 GB	1.2 MB
58	df/c300b6	177740	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_BAMSTAT (Hs27_WT_1_IGO_14178_1_S125)	COMPLETED	0	2024-04-25 15:12:15.115	20m 13s	20m 13s	98.7%	36.1 MB	10.6 GB	16.7 GB	1.4 KB
55	27/f0a27e	156265	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONSATURATION (Hs27_WT_1_IGO_14178_1_S125)	COMPLETED	0	2024-04-25 15:09:22.707	23m 27s	23m 27s	100.4%	8.5 GB	19.1 GB	16.7 GB	28.2 KB
41	14/56270c	56813	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (HS27_WT_2_IGO_14178_2_S126)	COMPLETED	0	2024-04-25 14:52:25.105	40m 38s	40m 37s	102.4%	10.6 GB	13.1 GB	32.7 GB	2.7 GB
67	da/62bda6	271830	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDCLIP (HS27_WT_2_IGO_14178_2_S126)	COMPLETED	0	2024-04-25 15:33:03.595	9.4s	8s	99.2%	4.4 MB	18.5 MB	673 MB	672.6 MB
68	e7/0a27c7	271832	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP (HS27_WT_2_IGO_14178_2_S126)	COMPLETED	0	2024-04-25 15:33:03.606	9.8s	9s	99.2%	4.4 MB	18.5 MB	694.4 MB	694.1 MB
69	b6/39a7c7	273350	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (HS27_WT_2_IGO_14178_2_S126)	COMPLETED	0	2024-04-25 15:33:16.184	39.4s	39s	96.3%	53.6 MB	72.1 MB	2 GB	134.7 MB
70	78/ef4e32	273354	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDGRAPHTOBIGWIG (HS27_WT_2_IGO_14178_2_S126)	COMPLETED	0	2024-04-25 15:33:16.194	45.1s	45s	96.9%	52.6 MB	71 MB	2 GB	138.7 MB
57	a6/d8aaa2	228770	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONANNOTATION (Hs27_WT_1_IGO_14178_1_S125)	COMPLETED	0	2024-04-25 15:18:48.637	17m 7s	17m 6s	100.8%	162.7 MB	10.8 GB	16.7 GB	119.9 MB
59	28/38c5d5	156280	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDISTRIBUTION (Hs27_WT_1_IGO_14178_1_S125)	COMPLETED	0	2024-04-25 15:09:22.985	26m 57s	26m 56s	99.3%	1 GB	11.6 GB	16.9 GB	1.8 KB
54	80/8360dd	156275	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDUPLICATION (Hs27_WT_1_IGO_14178_1_S125)	COMPLETED	0	2024-04-25 15:09:22.977	35m 22s	35m 22s	99.7%	24.8 GB	35.4 GB	16.7 GB	1.2 MB
52	8c/d20532	138400	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (Hs27_WT_1_IGO_14178_1_S125)	COMPLETED	0	2024-04-25 15:06:28.121	40m 51s	40m 50s	102.4%	11.3 GB	14.1 GB	34.8 GB	2.9 GB
72	3e/9027fe	292018	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP (Hs27_WT_1_IGO_14178_1_S125)	COMPLETED	0	2024-04-25 15:47:19.801	12.2s	11s	88.4%	4.4 MB	18.5 MB	750.5 MB	750.1 MB
71	4c/909c72	292012	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDCLIP (Hs27_WT_1_IGO_14178_1_S125)	COMPLETED	0	2024-04-25 15:47:19.781	13.5s	13s	78.1%	4.4 MB	18.5 MB	727.5 MB	727.1 MB
74	cf/c195b1	293726	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (Hs27_WT_1_IGO_14178_1_S125)	COMPLETED	0	2024-04-25 15:47:33.299	46.4s	46s	89.0%	48.6 MB	67 MB	2.1 GB	144.8 MB
73	59/bfad6b	293562	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDGRAPHTOBIGWIG (Hs27_WT_1_IGO_14178_1_S125)	COMPLETED	0	2024-04-25 15:47:32.083	52.1s	52s	90.3%	50.6 MB	69 MB	2.2 GB	149.1 MB
38	69/5ddc2c	56843	NFCORE_RNASEQ:RNASEQ:DUPRADAR (HS27_WT_2_IGO_14178_2_S126)	COMPLETED	0	2024-04-25 14:52:25.132	1h 31m 22s	1h 31m 21s	89.4%	672.7 MB	10.8 GB	194.4 GB	94.7 GB
49	0f/8bbc32	138391	NFCORE_RNASEQ:RNASEQ:DUPRADAR (Hs27_WT_1_IGO_14178_1_S125)	COMPLETED	0	2024-04-25 15:06:28.102	1h 34m	1h 33m 59s	88.3%	592.5 MB	10.8 GB	188.6 GB	87.4 GB
40	54/4268a7	70233	NFCORE_RNASEQ:RNASEQ:QUALIMAP_RNASEQ (HS27_WT_2_IGO_14178_2_S126)	FAILED	-	2024-04-25 14:55:47.186	8h	8h	-	-	-	-	-
51	31/fc2991	138426	NFCORE_RNASEQ:RNASEQ:QUALIMAP_RNASEQ (Hs27_WT_1_IGO_14178_1_S125)	FAILED	-	2024-04-25 15:06:28.146	8h	8h	-	-	-	-	-
